"team","opponent","max2","odds","market_value","FIFA_points","UEFA_rank","UEFA_points","CL_players","max2_opponent","odds_opponent","market_value_opponent","FIFA_points_opponent","UEFA_rank_opponent","UEFA_points_opponent","CL_players_opponent","result","past_scores","past_scores_opponent","GDP","GDP_opponent","population","population_opponent","t_sne_1","t_sne_2","id"
"Croatia","Turkey",0.75,0.0909090909090909,0.163689391177543,0.634751773049645,0.764705882352941,0.0705127401707045,0,1,0.328512396694215,0.126139263580022,0.468085106382979,0.294117647058824,0.322446012508303,0,"draw",0.164835164826108,0.0659340659304432,0.00751871148064663,0.220875083148267,0.0158463098020443,0.536669670261594,151.705593247124,-97.8574852688393,57
"Netherlands","Russia",0.5,0.0805785123966942,0.325191396281444,0.704787234042553,0.235294117647059,0.403762517703385,0.142857142857143,1,0.194214876033058,0.156398104265403,0.468085106382979,0.147058823529412,0.473159787935378,0,"loss",0.560439560408767,0.131868131860886,0.213329464638894,0.578931907464232,0.105769556218849,1,-13.6339174606888,-189.660045611066,58
"Spain","Italy",0.75,0.0340909090909091,0.561064527889172,0.88209219858156,0.0294117647058824,0.868161479940341,0.5,0.75,0.0237603305785124,0.513671162960262,0.946808510638298,0.0588235294117647,0.681965733766152,0.0714285714285714,"draw",0.230769230756551,0.417582417504528,0.36830285441966,0.566157726228472,0.312871793427759,0.415228226283333,-175.62473159019,125.875514934117,59
"Germany","Turkey",0.5,0.0134297520661157,0.328472475391907,0.829787234042553,0.117647058823529,0.535475704062065,0.0714285714285714,1,0.328512396694215,0.126139263580022,0.468085106382979,0.294117647058824,0.322446012508303,0,"win",0.329670329652216,0.0659340659304432,1,0.220875083148267,0.559513417621716,0.536669670261594,-207.909291533649,374.12473515109,60
"Russia","Spain",1,0.194214876033058,0.156398104265403,0.468085106382979,0.147058823529412,0.473159787935378,0,0.75,0.0340909090909091,0.561064527889172,0.88209219858156,0.0294117647058824,0.868161479940341,0.5,"loss",0.131868131860886,0.230769230756551,0.578931907464232,0.36830285441966,1,0.312871793427759,-432.748267322471,-262.544509348974,61
"Germany","Spain",0.5,0.0134297520661157,0.328472475391907,0.829787234042553,0.117647058823529,0.535475704062065,0.0714285714285714,0.75,0.0340909090909091,0.561064527889172,0.88209219858156,0.0294117647058824,0.868161479940341,0.5,"loss",0.329670329652216,0.230769230756551,1,0.36830285441966,0.559513417621716,0.312871793427759,-74.3647288629592,44.9334372558327,62
"Poland","Greece",0.5,0.276859504132231,0.0922347794385709,0.168439716312057,0.382352941176471,0.12430596463083,0,0.5,0.586776859504132,0.0896828290193219,0.554078014184397,0.382352941176471,0.353039968917242,0,"draw",0.131868131860886,0.527472527443546,0.134583687239355,0.0584861717289791,0.257053754962971,0.0618787486272633,-91.2942361493075,-168.074866129624,63
"Russia","Czech Republic",1,0.225206611570248,0.213999270871309,0.573581560283688,0.235294117647059,0.485154223119055,0,0,0.483471074380165,0.117389719285454,0.392730496453901,0.235294117647059,0.186145612693797,0.0714285714285714,"win",0.417582417504528,0.307692307730347,0.578931907464232,0.0464240558822926,1,0.0602314645341143,-72.5466295222024,330.817191330949,64
"Greece","Czech Republic",0.5,0.586776859504132,0.0896828290193219,0.554078014184397,0.323529411764706,0.353039968917242,0,0,0.483471074380165,0.117389719285454,0.392730496453901,0.323529411764706,0.186145612693797,0.0714285714285714,"loss",0.527472527443546,0.307692307730347,0.0584861717289791,0.0464240558822926,0.0618787486272633,0.0602314645341143,-364.422456522825,241.102127763623,65
"Poland","Russia",0.5,0.276859504132231,0.0922347794385709,0.168439716312057,0.382352941176471,0.12430596463083,0,1,0.225206611570248,0.213999270871309,0.573581560283688,0.382352941176471,0.485154223119055,0,"draw",0.131868131860886,0.417582417504528,0.134583687239355,0.578931907464232,0.257053754962971,1,19.4662716186388,-196.450140713419,66
