season,matchday,match,home,guest,homegoals,guestgoals
2013/14,20,4,1. FC Nürnberg,Bayern München,0,2
2013/14,20,5,SC Freiburg,TSG Hoffenheim,1,1
2013/14,20,6,Eintracht Frankfurt,Eintracht Braunschweig,3,0
2013/14,20,7,Hamburger SV,Hertha BSC,0,3
2013/14,20,8,VfB Stuttgart,FC Augsburg,1,4
2013/14,20,9,FC Schalke 04,Hannover 96,2,0
2013/14,19,1,Eintracht Braunschweig,Borussia Dortmund,1,2
2013/14,19,2,FC Schalke 04,VfL Wolfsburg,2,1
2013/14,19,3,Bayer 04 Leverkusen,VfB Stuttgart,2,1
2013/14,19,4,TSG Hoffenheim,Hamburger SV,3,0
2013/14,19,5,1. FSV Mainz 05,SC Freiburg,2,0
2013/14,19,6,FC Augsburg,Werder Bremen,3,1
2013/14,19,7,Hannover 96,Bor. Mönchengladbach,3,1
2013/14,19,8,Hertha BSC,1. FC Nürnberg,1,3
2013/14,19,9,Bayern München,Eintracht Frankfurt,5,0
2013/14,18,1,Bor. Mönchengladbach,Bayern München,0,2
2013/14,18,2,Borussia Dortmund,FC Augsburg,2,2
2013/14,18,3,VfB Stuttgart,1. FSV Mainz 05,1,2
2013/14,18,4,VfL Wolfsburg,Hannover 96,1,3
2013/14,18,5,1. FC Nürnberg,TSG Hoffenheim,4,0
2013/14,18,6,SC Freiburg,Bayer 04 Leverkusen,3,2
2013/14,18,7,Eintracht Frankfurt,Hertha BSC,1,0
2013/14,18,8,Werder Bremen,Eintracht Braunschweig,0,0
2013/14,18,9,Hamburger SV,FC Schalke 04,0,3
2013/14,17,1,Eintracht Frankfurt,FC Augsburg,1,1
2013/14,17,2,Borussia Dortmund,Hertha BSC,1,2
2013/14,17,3,Werder Bremen,Bayer 04 Leverkusen,1,0
2013/14,17,4,SC Freiburg,Hannover 96,2,1
2013/14,17,5,Hamburger SV,1. FSV Mainz 05,2,3
2013/14,17,6,Eintracht Braunschweig,TSG Hoffenheim,1,0
2013/14,17,7,1. FC Nürnberg,FC Schalke 04,0,0
2013/14,17,8,Bor. Mönchengladbach,VfL Wolfsburg,2,2
2013/14,17,9,VfB Stuttgart,Bayern München,1,2
2013/14,16,1,Hertha BSC,Werder Bremen,3,2
2013/14,16,2,Bayern München,Hamburger SV,3,1
2013/14,16,3,Hannover 96,1. FC Nürnberg,3,3
2013/14,16,4,TSG Hoffenheim,Borussia Dortmund,2,2
2013/14,16,5,1. FSV Mainz 05,Bor. Mönchengladbach,0,0
2013/14,16,6,FC Augsburg,Eintracht Braunschweig,4,1
2013/14,16,7,VfL Wolfsburg,VfB Stuttgart,3,1
2013/14,16,8,FC Schalke 04,SC Freiburg,2,0
2013/14,16,9,Bayer 04 Leverkusen,Eintracht Frankfurt,0,1
2013/14,15,1,1. FC Nürnberg,1. FSV Mainz 05,1,1
2013/14,15,2,Bor. Mönchengladbach,FC Schalke 04,2,1
2013/14,15,3,VfB Stuttgart,Hannover 96,4,2
2013/14,15,4,Werder Bremen,Bayern München,0,7
2013/14,15,5,Hamburger SV,FC Augsburg,0,1
2013/14,15,6,Eintracht Frankfurt,TSG Hoffenheim,1,2
2013/14,15,7,Borussia Dortmund,Bayer 04 Leverkusen,0,1
2013/14,15,8,SC Freiburg,VfL Wolfsburg,0,3
2013/14,15,9,Eintracht Braunschweig,Hertha BSC,0,2
2013/14,14,1,VfL Wolfsburg,Hamburger SV,1,1
2013/14,14,2,Bayern München,Eintracht Braunschweig,2,0
2013/14,14,3,Bayer 04 Leverkusen,1. FC Nürnberg,3,0
2013/14,14,4,TSG Hoffenheim,Werder Bremen,4,4
2013/14,14,5,1. FSV Mainz 05,Borussia Dortmund,1,3
2013/14,14,6,Hertha BSC,FC Augsburg,0,0
2013/14,14,7,FC Schalke 04,VfB Stuttgart,3,0
2013/14,14,8,Hannover 96,Eintracht Frankfurt,2,0
2013/14,14,9,Bor. Mönchengladbach,SC Freiburg,1,0
2013/14,13,1,VfB Stuttgart,Bor. Mönchengladbach,0,2
2013/14,13,2,1. FC Nürnberg,VfL Wolfsburg,1,1
2013/14,13,3,FC Augsburg,TSG Hoffenheim,2,0
2013/14,13,4,Eintracht Braunschweig,SC Freiburg,0,1
2013/14,13,5,Eintracht Frankfurt,FC Schalke 04,3,3
2013/14,13,6,Hertha BSC,Bayer 04 Leverkusen,0,1
2013/14,13,7,Borussia Dortmund,Bayern München,0,3
2013/14,13,8,Hamburger SV,Hannover 96,3,1
2013/14,13,9,Werder Bremen,1. FSV Mainz 05,2,3
2013/14,12,1,Hannover 96,Eintracht Braunschweig,0,0
2013/14,12,2,Bayern München,FC Augsburg,3,0
2013/14,12,3,FC Schalke 04,Werder Bremen,3,1
2013/14,12,4,Bayer 04 Leverkusen,Hamburger SV,5,3
2013/14,12,5,VfL Wolfsburg,Borussia Dortmund,2,1
2013/14,12,6,TSG Hoffenheim,Hertha BSC,2,3
2013/14,12,7,Bor. Mönchengladbach,1. FC Nürnberg,3,1
2013/14,12,8,1. FSV Mainz 05,Eintracht Frankfurt,1,0
2013/14,12,9,SC Freiburg,VfB Stuttgart,1,3
2013/14,11,1,Borussia Dortmund,VfB Stuttgart,6,1
2013/14,11,2,1. FC Nürnberg,SC Freiburg,0,3
2013/14,11,3,TSG Hoffenheim,Bayern München,1,2
2013/14,11,4,Hamburger SV,Bor. Mönchengladbach,0,2
2013/14,11,5,Eintracht Braunschweig,Bayer 04 Leverkusen,1,0
2013/14,11,6,Hertha BSC,FC Schalke 04,0,2
2013/14,11,7,Eintracht Frankfurt,VfL Wolfsburg,1,2
2013/14,11,8,FC Augsburg,1. FSV Mainz 05,2,1
2013/14,11,9,Werder Bremen,Hannover 96,3,2
2013/14,10,1,VfB Stuttgart,1. FC Nürnberg,1,1
2013/14,10,2,Bayern München,Hertha BSC,3,2
2013/14,10,3,FC Schalke 04,Borussia Dortmund,1,3
2013/14,10,4,Bayer 04 Leverkusen,FC Augsburg,2,1
2013/14,10,5,Hannover 96,TSG Hoffenheim,1,4
2013/14,10,6,1. FSV Mainz 05,Eintracht Braunschweig,2,0
2013/14,10,7,VfL Wolfsburg,Werder Bremen,3,0
2013/14,10,8,SC Freiburg,Hamburger SV,0,3
2013/14,10,9,Bor. Mönchengladbach,Eintracht Frankfurt,4,1
2013/14,9,1,TSG Hoffenheim,Bayer 04 Leverkusen,1,2
2013/14,9,2,Borussia Dortmund,Hannover 96,1,0
2013/14,9,3,Bayern München,1. FSV Mainz 05,4,1
2013/14,9,4,Werder Bremen,SC Freiburg,0,0
2013/14,9,5,Eintracht Braunschweig,FC Schalke 04,2,3
2013/14,9,6,Eintracht Frankfurt,1. FC Nürnberg,1,1
2013/14,9,7,Hertha BSC,Bor. Mönchengladbach,1,0
2013/14,9,8,Hamburger SV,VfB Stuttgart,3,3
2013/14,9,9,FC Augsburg,VfL Wolfsburg,1,2
2013/14,8,1,Hannover 96,Hertha BSC,1,1
2013/14,8,2,FC Schalke 04,FC Augsburg,4,1
2013/14,8,3,Bor. Mönchengladbach,Borussia Dortmund,2,0
2013/14,8,4,VfB Stuttgart,Werder Bremen,1,1
2013/14,8,5,VfL Wolfsburg,Eintracht Braunschweig,0,2
2013/14,8,6,1. FSV Mainz 05,TSG Hoffenheim,2,2
2013/14,8,7,Bayer 04 Leverkusen,Bayern München,1,1
2013/14,8,8,1. FC Nürnberg,Hamburger SV,0,5
2013/14,8,9,SC Freiburg,Eintracht Frankfurt,1,1
2013/14,7,1,FC Augsburg,Bor. Mönchengladbach,2,2
2013/14,7,2,Borussia Dortmund,SC Freiburg,5,0
2013/14,7,3,Bayern München,VfL Wolfsburg,1,0
2013/14,7,4,Bayer 04 Leverkusen,Hannover 96,2,0
